update_idx,step,num_transitions,agent0_n,agent1_n,agent0_rl_sum,agent0_rl_mean,agent0_format_sum,agent0_format_mean,agent0_validator_sum,agent0_validator_mean,agent0_sequence_sum,agent0_sequence_mean,agent0_comm_sum,agent0_comm_mean,agent0_breakdown_total_sum,agent0_breakdown_total_mean,agent0_legacy_process_sum,agent0_legacy_process_mean,agent1_rl_sum,agent1_rl_mean,agent1_format_sum,agent1_format_mean,agent1_validator_sum,agent1_validator_mean,agent1_sequence_sum,agent1_sequence_mean,agent1_comm_sum,agent1_comm_mean,agent1_breakdown_total_sum,agent1_breakdown_total_mean,agent1_legacy_process_sum,agent1_legacy_process_mean
1,101,101,49,52,-34.855357899195255,-0.7113338346774541,-6.0,-0.12244897959183673,-29.5,-0.6020408163265306,0.6446421008047437,0.013155961240913137,0.0,0.0,-34.855357899195255,-0.7113338346774541,-34.855357899195255,-0.7113338346774541,-5.0671834625323005,-0.09744583581792886,-6.0,-0.11538461538461539,-3.0,-0.057692307692307696,3.9328165374677004,0.07563108725899424,0.0,0.0,-5.0671834625323005,-0.09744583581792886,-5.0671834625323005,-0.09744583581792886
1,111,111,54,57,-33.03303684879289,-0.6117229046072757,-6.0,-0.1111111111111111,-28.0,-0.5185185185185185,0.9669631512071155,0.017906725022353992,0.0,0.0,-33.03303684879289,-0.6117229046072757,-33.03303684879289,-0.6117229046072757,-8.689061154177434,-0.15243966937153394,-5.0,-0.08771929824561403,-5.0,-0.08771929824561403,1.3109388458225668,0.022998927119694156,0.0,0.0,-8.689061154177434,-0.15243966937153394,-8.689061154177434,-0.15243966937153394
1,75,75,35,40,-28.855357899195255,-0.8244387971198645,-2.0,-0.05714285714285714,-27.5,-0.7857142857142857,0.6446421008047437,0.01841834573727839,0.0,0.0,-28.855357899195255,-0.8244387971198645,-28.855357899195255,-0.8244387971198645,-6.033591731266149,-0.15083979328165373,-2.0,-0.05,-6.0,-0.15,1.9664082687338502,0.049160206718346255,0.0,0.0,-6.033591731266149,-0.15083979328165373,-6.033591731266149,-0.15083979328165373
1,113,113,56,57,-36.53303684879289,-0.6523756580141588,-6.0,-0.10714285714285714,-31.5,-0.5625,0.9669631512071155,0.01726719912869849,0.0,0.0,-36.53303684879289,-0.6523756580141588,-36.53303684879289,-0.6523756580141588,-10.53359173126615,-0.18479985493449386,-7.0,-0.12280701754385964,-5.5,-0.09649122807017543,1.9664082687338502,0.03449839067954123,0.0,0.0,-10.53359173126615,-0.18479985493449386,-10.53359173126615,-0.18479985493449386
1,101,101,49,52,-34.0,-0.6938775510204082,-6.0,-0.12244897959183673,-28.0,-0.5714285714285714,0.0,0.0,0.0,0.0,-34.0,-0.6938775510204082,-34.0,-0.6938775510204082,-8.033591731266151,-0.15449214867819522,-8.0,-0.15384615384615385,-2.0,-0.038461538461538464,1.9664082687338502,0.03781554362949712,0.0,0.0,-8.033591731266151,-0.15449214867819522,-8.033591731266151,-0.15449214867819522
1,95,95,45,50,-27.033036848792886,-0.6007341521953975,-2.0,-0.044444444444444446,-26.0,-0.5777777777777777,0.9669631512071155,0.02148807002682479,0.0,0.0,-27.033036848792886,-0.6007341521953975,-27.033036848792886,-0.6007341521953975,-10.189061154177434,-0.20378122308354868,-8.0,-0.16,-3.5,-0.07,1.3109388458225668,0.026218776916451338,0.0,0.0,-10.189061154177434,-0.20378122308354868,-10.189061154177434,-0.20378122308354868
1,89,89,43,46,-31.855357899195255,-0.7408222767254711,-6.0,-0.13953488372093023,-26.5,-0.6162790697674418,0.6446421008047437,0.014991676762901017,0.0,0.0,-31.855357899195255,-0.7408222767254711,-31.855357899195255,-0.7408222767254711,-5.378122308354866,-0.11691570235554058,-4.0,-0.08695652173913043,-5.0,-0.10869565217391304,3.6218776916451336,0.07873647155750291,0.0,0.0,-5.378122308354866,-0.11691570235554058,-5.378122308354866,-0.11691570235554058
1,103,103,51,52,-33.355357899195255,-0.6540266254744168,-4.0,-0.0784313725490196,-30.0,-0.5882352941176471,0.6446421008047437,0.012640041192249877,0.0,0.0,-33.355357899195255,-0.6540266254744168,-33.355357899195255,-0.6540266254744168,-10.344530577088717,-0.19893328032862917,-7.0,-0.1346153846153846,-4.0,-0.07692307692307693,0.6554694229112834,0.012605181209832374,0.0,0.0,-10.344530577088717,-0.19893328032862917,-10.344530577088717,-0.19893328032862917
1,109,109,53,56,-36.855357899195255,-0.6953841113055709,-8.0,-0.1509433962264151,-29.5,-0.5566037735849056,0.6446421008047437,0.012163058505749882,0.0,0.0,-36.855357899195255,-0.6953841113055709,-36.855357899195255,-0.6953841113055709,-9.689061154177434,-0.1730189491817399,-7.0,-0.125,-4.0,-0.07142857142857142,1.3109388458225668,0.02340962224683155,0.0,0.0,-9.689061154177434,-0.1730189491817399,-9.689061154177434,-0.1730189491817399
1,98,98,45,53,-32.17767894959763,-0.7150595322132806,-7.0,-0.15555555555555556,-25.5,-0.5666666666666667,0.32232105040237186,0.007162690008941597,0.0,0.0,-32.17767894959763,-0.7150595322132806,-32.17767894959763,-0.7150595322132806,-10.03359173126615,-0.18931305153332356,-6.0,-0.11320754716981132,-6.0,-0.11320754716981132,1.9664082687338502,0.037102042806299064,0.0,0.0,-10.03359173126615,-0.18931305153332356,-10.03359173126615,-0.18931305153332356
